Namn på organisation,Org nr organisation,Postort organisation,Lagstöd verksamhet,Status tillsynsobjekt,Lag verksamhetsinnehåll,Lagrum verksamhetsinnehåll,Typ av boende verksamhetsinnehåll
Ek. för. Personalkooperativet Legotjänst Sunne,769616-2945,Sunne,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Ekblad Assistans & Konsult ek. för.,769619-1191,ADELSÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ekens Assistans AB,556757-7431,FURULUND,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ekens Assistans AB,556757-7431,FURULUND,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Ekens Assistans AB,556757-7431,FURULUND,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Ekerö kommun,212000-0050,EKERÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Ekerö kommun,212000-0050,EKERÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Eketorp omsorg AB,559045-7387,NYKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Eketorp omsorg AB,559045-7387,NYKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Eketorp omsorg AB,559045-7387,NYKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Eketorp omsorg AB,559045-7387,NYKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Eketorp omsorg AB,559045-7387,NYKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
EKFB Sverige AB,559012-2080,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
EKFB Sverige AB,559012-2080,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Eklyckan AB,556753-7195,Kalmar,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ekonett AB,556867-4393,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Ekonett AB,556867-4393,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Ekonett AB,556867-4393,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Ekonett AB,556867-4393,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"Ekonomisk förening Brokamp Daglig Verksamhet, en del av Brokamp Gruppen",769627-9871,LUND,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
"Ekonomisk förening Brokamp Entreprenad, en del av
 Brokamp Gruppen",769630-1949,LUND,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Ekonomiska föreningen Samarbetet i Östhammar,769619-7479,Östhammar,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Ekonomiska föreningen UPPRETT,769602-8625,STORVRETA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ekoxen HVB,590801-3344,Rödeby,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Ektrade AB,556262-3172,Halmstad,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Eleonore Jonsson,780901-7127,Borlänge,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
ELFA Assistans i Sverige AB,556798-2813,Solna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Elfgren Assistans AB,556787-1172,SÖDERTÄLJE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Elmqvist Assistans &
 Utbildning Ekonomisk förening",769618-9336,Sundbyberg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Elmstahemmet Aktiebolag,556294-7001,VÄDDÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Elna Soeson,611112-3508,BROBY,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
ELT Vård AB,556743-8444,Helsingborg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Emcura AB,559184-8154,ÄLVSJÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Empatus AB,556791-3065,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Enheten för att Växa Örebro AB,556959-0085,Karlstad,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Enigheten Personligassistans AB,556717-5178,BORLÄNGE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
ENKV assistans AB,556626-1854,DJURSHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Entusia AB,559245-4697,SPÅNGA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"EQ Personlig assistans Sverige
 AB",559218-0334,Karlstad,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Era Villahermosa Jonsson,650713-6122,Skärholmen,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
EricsBo AB,556696-7070,STENHAMRA,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
EricsBo AB,556696-7070,STENHAMRA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Erik Edins Insamlingsstiftelse till hjälp för alkoholens och narkotikans offer,802404-4722,Upplands Väsby,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Erlandsdals Vård och Omsorg
 AB",556752-1124,Svedala,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
ErLeMa AB,559057-3431,TRANÅS,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Ethea Consultation,561022-7802,Glemmingebro,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Ett Riktigt Bra Familjehem i
 Sverige AB",559382-9020,TÄBY,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Eva Långström,520929-8529,Byske,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"EVA Rehab Hudiksvall
 Aktiebolag",556460-3958,Hudiksvall,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Evanda Assistans AB,559266-3750,TÄBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Event & Tjänster i Östergötland AB,556789-6492,Motala,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Eveo AB,556778-1686,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Eveo AB,556778-1686,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Evert Hessel,470409-2453,Alingsås,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Evia Mälarhöjden AB,556663-8960,SKÄRHOLMEN,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Evia Vendelsö AB,556932-0137,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Evus Omsorg AB,559020-5125,BROMMA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Evus Omsorg AB,559020-5125,BROMMA,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Evus Omsorg AB,559020-5125,BROMMA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Evus Omsorg AB,559020-5125,BROMMA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Evus Omsorg AB,559020-5125,BROMMA,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Evus Omsorg AB,559020-5125,BROMMA,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
EVVIVA AB,556801-1307,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
EVVIVA AB,556801-1307,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Exter Assistans Aktiebolag,556714-2723,LIDKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Exter Assistans Aktiebolag,556714-2723,LIDKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
F3nix Omsorg i Sävsjö AB,559084-7876,STOCKARYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
FaIRO AB,556959-5910,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Falingo AB,556803-6676,ROTTNE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Falkenbergs kommun,212000-1231,Falkenberg,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
"Falks Mark & Asfalt
 Aktiebolag",556499-9471,KOLBÄCK,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Famac Assistans AB,559260-8037,Landskrona,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Familjeassistans i Sverige AB,556584-3595,UMEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
FamiljeDynamiken AB,556747-6352,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Familjeenheten Sverige AB,556991-9367,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehem Fristad AB,556916-1382,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehem i Dalarna AB,559052-0119,SUNDBORN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehem i fokus Sverige AB,556749-7432,VÄSTRA FRÖLUNDA,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehem i Väst AB,556783-9476,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehem Norr AB,556871-4017,Sundsvall,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehem Södra Sverige AB,559049-1212,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Familjehem-Bemanning
 Kristianstad AB",559013-6148,Åhus,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Familjehemkonsulenter
 Sverige AB",559027-1713,JÄRFÄLLA,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Familjehemkonsulenter
 Sverige AB",559027-1713,JÄRFÄLLA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Familjehemmen i Skåne AB,559025-3539,HÖRBY,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Familjehems teamet på
 Gotland AB",559189-0438,KLINTEHAMN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Familjehemscenter i
 Östergötland AB",556223-7288,FINSPÅNG,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehemscentralen FC AB,559000-5368,KRYLBO,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehemsgruppen Syd AB,556743-0367,ÄLVSJÖ,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehemsguiden AB,556775-9328,VAGNHÄRAD,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjehemsverksamheten Skaraborg Aktiebolag,556493-1102,FALKÖPING,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjelänken AB,556940-1663,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Familjen utan gräns AB,559033-2630,Åkersberga,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Familjens Korttidsvistelsen Stockholm,660121-2803,Märsta,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
FamiljeResurs Väst Aktiebolag,556672-0248,ALINGSÅS,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Familjevårdsgruppen i
 Jönköping Aktiebolag",556433-1329,JÖNKÖPING,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Familjevårdsstiftelsen -
 Göteborg",857205-5005,Västra Frölunda,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Färgbron Gruppbostad AB,556638-1694,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Färgbron Gruppbostad AB,556638-1694,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Färgbron Omsorg AB,556563-2659,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Faster Veras behandlingshem Aktiebolag,556725-3660,TÄRNSJÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Feel Well - Varberg AB,556773-8090,Varberg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
FemBo i Karlskrona ek. för.,769607-0460,LYCKEBY,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Ferla Aktiebolag,556501-2894,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fideli Omsorg AB,559067-7265,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Fiedahls Ridskola,530611-3506,Svedala,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
FIM AB,556728-2719,SALA,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Finjagården Aktiebolag,556405-1950,HÄSSLEHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Finjagården Aktiebolag,556405-1950,HÄSSLEHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Firma Kerstin Cassel,630602-0162,Sparreholm,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Firma Sonny Bertilsson,391016-5517,Länghem,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Fixa Assistans AB,556606-6212,Karlshamn,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Fixa Assistans i Blekinge AB,556742-2463,Karlshamn,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Flexbo Resurs & Individstöd
 AB",559006-1189,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Flexi Assistans Göteborg AB,556832-5723,KISTA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Flora Assistans AB,559311-4324,Kristianstad,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
FM care AB,559086-5977,VÄSTERÅS,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
FMF Assistans AB,556800-7206,ÖREBRO,Tillståndspliktig,Inhibition beviljad,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Fogdhyttans Vård- och
 Behandlingshem AB",556838-2484,NORA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Fokus Assistans i Närke AB,556883-7941,ÖREBRO,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Folkets Hemtjänst Stockholm
 AB",559168-7537,UPPLANDS VÄSBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
FOM Assistans AB,559174-7026,Arvika,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"För ung Framtid
 handelsbolaget",969766-0984,BJÖRKLINGE,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Förenade Familjehem AB,559143-3171,RYD,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"Förenade Familjehem Sverige
 AB",559066-1533,RYD,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Forenede Care AB,556535-5400,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Forenede Care AB,556535-5400,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Forenede Care AB,556535-5400,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Föreningen Dalby,819001-6082,VÄSTERLJUNG,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Föreningen Dalby,819001-6082,VÄSTERLJUNG,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Föreningen Ensjöholm med firma Föreningen Ensjöholm,825001-6717,NORRKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Föreningen Ensjöholm med firma Föreningen Ensjöholm,825001-6717,NORRKÖPING,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Föreningen Ensjöholm med firma Föreningen Ensjöholm,825001-6717,NORRKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Föreningen Ensjöholm med firma Föreningen Ensjöholm,825001-6717,NORRKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Föreningen Ensjöholm med firma Föreningen Ensjöholm,825001-6717,NORRKÖPING,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"Föreningen Fogdaröd omsorg, vård & skola upa ek. för.",742000-2045,HÖÖR,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"Föreningen Fogdaröd omsorg, vård & skola upa ek. för.",742000-2045,HÖÖR,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
